,TOTAL_ACCIDENTES,GRAVEDAD,GRAVEDAD,GRAVEDAD,CLASE,CLASE,CLASE,CLASE,CLASE,CLASE,CLASE,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA
,,SOLO DANOS,CON HERIDOS,CON MUERTOS,CHOQUE,ATROPELLO,VOLCAMIENTO,OTRO,CAIDA DE OCUPANTE,INCENDIO,AUTOLESION,KENNEDY,ENGATIVA,FONTIBON,SUBA,PUENTE ARANDA,CHAPINERO,TEUSAQUILLO,USAQUEN,LOS MARTIRES,SANTA FE,BARRIOS UNIDOS,RAFAEL URIBE URIBE,BOSA,SAN CRISTOBAL,TUNJUELITO,CIUDAD BOLIVAR,ANTONIO NARIÑO,USME,CANDELARIA,Jueves,Miercoles,Martes,Viernes,Domingo,Sábado,Lunes
FECHA_OCURRENCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-11,384,266,110,8,324,40,3,2,4,0,11,41,40,29,37,32,29,17,37,16,8,29,15,18,6,12,9,3,2,4,58,60,48,66,29,63,60
2009-01-18,454,325,124,5,384,46,6,3,8,0,7,42,36,52,34,43,33,40,68,15,17,22,9,10,2,7,5,8,4,7,69,80,52,73,50,88,42
2009-01-25,533,367,160,6,448,52,5,7,8,0,13,47,58,37,53,48,62,29,63,17,18,43,8,12,7,7,6,8,2,8,72,65,66,87,53,85,105
2009-02-01,525,361,154,10,425,62,3,10,10,0,15,52,45,47,53,53,45,25,73,19,22,26,15,13,9,8,6,3,5,6,64,89,77,61,56,90,88
2009-02-08,481,327,142,12,397,49,4,3,15,0,13,52,45,27,51,43,40,32,44,21,22,44,5,9,6,9,10,10,5,6,41,70,70,89,51,92,68
2009-02-15,517,392,123,2,445,47,2,7,8,0,8,39,49,37,42,47,40,33,77,17,28,35,11,15,9,6,8,8,11,5,63,68,68,85,60,103,70
2009-02-22,524,356,158,10,424,70,3,5,13,0,9,52,57,27,52,42,40,36,69,24,20,40,11,5,12,7,12,12,5,1,74,79,84,77,62,66,82
2009-03-01,566,381,173,12,462,72,6,4,12,0,10,39,65,38,59,42,46,43,64,26,27,48,9,11,8,9,12,9,3,8,82,82,79,102,47,97,77
2009-03-08,527,363,147,17,445,60,1,3,7,0,11,49,53,38,50,43,52,21,54,24,26,45,19,13,6,14,5,7,5,3,71,72,74,84,53,92,81
2009-03-15,496,359,132,5,424,48,2,9,7,0,6,37,41,29,54,43,44,42,62,30,24,26,11,11,7,17,4,8,0,6,63,62,83,87,34,97,70
2009-03-22,570,420,143,7,492,51,3,4,9,0,11,51,53,28,55,38,61,38,79,32,26,35,16,11,10,9,9,6,5,8,77,72,87,115,71,66,82
2009-03-29,522,382,133,7,449,49,2,11,8,0,3,50,52,31,51,40,53,39,64,29,20,31,11,11,9,4,9,10,5,3,78,79,94,70,54,89,58
2009-04-05,604,449,147,8,522,53,3,4,6,0,16,56,59,49,56,60,58,47,75,16,18,34,17,8,12,7,7,12,5,8,99,98,75,92,46,105,89
2009-04-12,335,250,85,0,289,30,3,1,6,0,6,36,33,27,25,29,28,28,37,12,17,23,5,9,6,5,5,7,2,1,27,74,68,19,47,42,58
2009-04-19,475,341,127,7,400,43,7,6,12,0,7,48,38,27,55,37,44,34,73,20,16,22,10,8,9,13,6,7,3,5,69,60,64,73,60,87,62
2009-04-26,563,391,160,12,469,63,5,9,6,0,11,63,44,31,56,43,54,40,76,19,21,38,16,7,11,14,13,8,4,5,86,74,90,75,61,87,90
2009-05-03,495,350,138,7,414,61,2,5,7,0,6,50,49,27,35,43,48,29,63,18,25,30,9,14,12,15,8,6,6,8,95,77,78,61,56,58,70
2009-05-10,540,407,127,6,465,55,1,6,9,0,4,45,60,40,52,41,42,46,71,20,18,35,9,11,13,15,11,4,3,4,72,64,85,60,53,124,82
2009-05-17,505,354,144,7,423,58,3,6,4,0,11,51,52,43,45,47,37,32,75,15,15,26,12,8,8,15,6,7,5,6,69,80,59,75,51,98,73
2009-05-24,493,332,154,7,408,53,3,3,7,0,19,43,52,34,43,49,37,31,67,22,16,35,13,11,9,6,12,3,4,6,67,77,68,86,36,82,77
2009-05-31,478,346,124,8,403,49,3,4,7,0,12,58,61,47,48,22,38,28,66,16,14,22,8,11,7,8,6,8,5,5,60,78,75,73,57,94,41
2009-06-07,565,431,128,6,495,48,3,3,5,0,11,62,64,41,46,35,59,37,75,26,31,34,12,7,9,6,4,10,2,5,66,77,65,122,57,92,86
